product,year,month,campaign,seasonality,quantity,quarter,month_sin,month_cos,quarter_sin,quarter_cos,quantity_lag1,quantity_lag2,quantity_lag3,quantity_lag4,quantity_lag6,quantity_lag12,quantity_ma3,quantity_std3,quantity_min3,quantity_max3,quantity_ma6,quantity_std6,quantity_min6,quantity_max6,quantity_ma9,quantity_std9,quantity_min9,quantity_max9,quantity_ma12,quantity_std12,quantity_min12,quantity_max12,quantity_ewm3,quantity_ewm6,quantity_ewm12,quantity_volatility3,quantity_volatility6,quantity_stability_3,quantity_stability_6,trend,trend_norm,trend_squared,trend_cubed,quantity_pct_change,quantity_pct_change_smooth,quantity_diff,quantity_diff2,is_high_season,is_low_season,is_holiday_season,is_summer,is_winter,quantity_yoy,yoy_diff,yoy_growth,campaign_season_interaction,campaign_season,campaign_month,seasonality_month,campaign_high_season,seasonality_summer,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,quarter_1,quarter_2,quarter_3,quarter_4
BOMBOM MORANGUETE 13G 160UN,2021,11,0,0,44525.0,4.0,-0.5000000000000004,0.8660254037844384,-2.4492935982947064e-16,1.0,30335.0,40867.0,30688.0,30517.0,11643.0,12132.0,38575.666666666664,7367.270955607192,30335.0,44525.0,33093.165,8277.939963019184,21626.99,44525.0,27603.887777777778,10739.361726999632,11643.0,44525.0,24819.543636363636,11430.106631214141,11643.0,44525.0,38390.26741210937,33401.433941651296,27059.21616449759,0.19098233659233868,0.2501404735092332,7367.270955607192,8277.939963019184,10,0.18181818181818182,100,1000,0.46777649579693414,0.1805852059187517,14190.0,24722.0,0,0,0,0,0,12132.0,7055.0,0.5815199472469502,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
BOMBOM MORANGUETE 13G 160UN,2021,12,0,0,38245.0,4.0,-2.4492935982947064e-16,1.0,-2.4492935982947064e-16,1.0,44525.0,30335.0,40867.0,30688.0,21626.99,12132.0,37701.666666666664,7110.586004917831,30335.0,44525.0,35862.833333333336,6191.3376395304695,30335.0,44525.0,29677.443333333333,10798.570838490623,11643.0,44525.0,25938.331666666665,11566.786364021957,11643.0,44525.0,38317.63370605469,34785.30995832235,28780.10598534411,0.18860137053846862,0.17263938914095286,7110.586004917831,6191.3376395304695,11,0.2,121,1331,-0.14104435710275132,0.02300603022826216,-6280.0,-20470.0,0,0,1,0,1,12132.0,7055.0,0.5815199472469502,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
BOMBOM MORANGUETE 13G 160UN,2022,1,0,0,19187.0,1.0,0.49999999999999994,0.8660254037844387,1.0,6.123233995736766e-17,38245.0,44525.0,30335.0,40867.0,30517.0,12132.0,33985.666666666664,13195.074889265818,19187.0,44525.0,33974.5,9162.684928556697,19187.0,44525.0,29737.11,10731.297166997105,11643.0,44525.0,26526.248333333333,10964.87759663126,11643.0,44525.0,28752.316853027343,30328.649970230254,27304.2435260604,0.38825411367338636,0.26969300294505283,13195.074889265818,9162.684928556697,12,0.21818181818181817,144,1728,-0.4983135050333377,-0.05719378877971829,-19058.0,-12778.0,0,1,1,0,1,12132.0,7055.0,0.5815199472469502,0,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
BOMBOM MORANGUETE 13G 160UN,2022,2,0,0,22513.99,1.0,0.8660254037844386,0.5000000000000001,1.0,6.123233995736766e-17,19187.0,38245.0,44525.0,30335.0,30688.0,12447.99,26648.663333333334,10179.562057379151,19187.0,38245.0,32612.164999999997,10287.666818056952,19187.0,44525.0,30944.997777777775,8894.742976754276,19187.0,44525.0,27365.081666666665,10144.28236047805,11643.0,44525.0,25633.153426513672,28095.889978735897,26567.28144512803,0.38199146914232285,0.315454886790158,10179.562057379151,10287.666818056952,13,0.23636363636363636,169,2197,0.17339813415333305,-0.15531990932758533,3326.9900000000016,22384.99,0,1,0,0,1,12447.99,10066.000000000002,0.8086446084869928,0,0,0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
BOMBOM MORANGUETE 13G 160UN,2022,3,0,0,18487.0,1.0,1.0,6.123233995736766e-17,1.0,6.123233995736766e-17,22513.99,19187.0,38245.0,44525.0,40867.0,19583.0,20062.663333333334,2151.569617751931,18487.0,22513.99,28882.164999999997,10743.19345629362,18487.0,44525.0,30596.11,9355.56356220191,18487.0,44525.0,27273.748333333333,10225.327504780236,11643.0,44525.0,22060.076713256836,25350.492841954212,25324.16122280064,0.10724247234798492,0.37196634865473627,2151.569617751931,10743.19345629362,14,0.2545454545454545,196,2744,-0.1788661183557424,-0.16792716307858235,-4026.9900000000016,-7353.980000000003,0,1,0,0,0,19583.0,-1096.0,-0.05596691007506511,0,0,0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
BOMBOM MORANGUETE 13G 160UN,2022,4,0,0,18584.0,2.0,0.8660254037844387,-0.4999999999999998,1.2246467991473532e-16,-1.0,18487.0,22513.99,19187.0,38245.0,30335.0,18650.0,19861.663333333334,2297.494245919495,18487.0,22513.99,26923.664999999997,11471.775516690957,18487.0,44525.0,29270.22111111111,10177.642486598317,18487.0,44525.0,27268.248333333333,10230.404222708661,11643.0,44525.0,20322.038356628418,23417.209172824438,24287.21334236977,0.11567481571715435,0.4260852122729561,2297.494245919495,11471.775516690957,15,0.2727272727272727,225,3375,0.005246930275328632,-7.368464236023886e-05,97.0,4123.990000000002,0,0,0,0,0,18650.0,-66.0,-0.0035388739946380695,0,0,0,0,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
BOMBOM MORANGUETE 13G 160UN,2022,5,0,0,23336.0,2.0,0.49999999999999994,-0.8660254037844387,1.2246467991473532e-16,-1.0,18584.0,18487.0,22513.99,19187.0,44525.0,11643.0,20135.666666666668,2771.994288113378,18487.0,23336.0,23392.164999999997,7566.287866539977,18487.0,38245.0,28453.33222222222,10343.321328197462,18487.0,44525.0,28242.664999999997,9101.414543173049,18487.0,44525.0,21829.019178314207,23394.006552017454,24140.872828159037,0.137665880847255,0.3234539370998784,2771.994288113378,7566.287866539977,16,0.2909090909090909,256,4096,0.25570383125269047,0.027361547724092234,4752.0,4655.0,0,0,0,0,0,11643.0,11693.0,1.0042944258352657,0,0,0,0,0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
BOMBOM MORANGUETE 13G 160UN,2022,6,0,0,37663.0,2.0,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0,23336.0,18584.0,18487.0,22513.99,38245.0,21626.99,26527.666666666668,9931.87355604839,18584.0,37663.0,23295.164999999997,7338.080545438983,18487.0,37663.0,28097.33222222222,9908.66147410156,18487.0,44525.0,29578.999166666665,9218.259061134602,18487.0,44525.0,29746.009589157104,27470.861822869614,26221.200085365337,0.3743968016805746,0.3150044460058121,9931.87355604839,7338.080545438983,17,0.3090909090909091,289,4913,0.6139441206719232,0.2916316273999808,14327.0,9575.0,0,0,0,1,0,21626.99,16036.009999999998,0.7414813619463456,0,0,0,0,0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
BOMBOM MORANGUETE 13G 160UN,2022,7,0,1,36618.92,3.0,-0.4999999999999997,-0.8660254037844388,-1.0,-1.8369701987210297e-16,37663.0,23336.0,18584.0,18487.0,19187.0,30517.0,32539.306666666667,7987.375411368454,23336.0,37663.0,26200.485,8709.044175742252,18487.0,37663.0,28795.545555555553,10299.729135442243,18487.0,44525.0,30087.492500000004,9440.325280585244,18487.0,44525.0,33182.464794578555,30084.592730621152,27820.84930300144,0.24546851883450663,0.33240011304150485,7987.375411368454,8709.044175742252,18,0.32727272727272727,324,5832,-0.027721636619494006,0.28064210510170656,-1044.0800000000017,-15371.080000000002,1,0,0,1,0,30517.0,6101.919999999998,0.1999515024412622,0,0,0,7,0,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
BOMBOM MORANGUETE 13G 160UN,2022,8,0,1,37288.0,3.0,-0.8660254037844384,-0.5000000000000004,-1.0,-1.8369701987210297e-16,36618.92,37663.0,23336.0,18584.0,22513.99,30688.0,37189.973333333335,528.8976102550129,36618.92,37663.0,28662.820000000003,9510.009819679477,18487.0,37663.0,27991.434444444443,9134.837542122894,18487.0,38245.0,30637.492500000004,9668.0065371956,18487.0,44525.0,35235.23239728928,32142.709093300822,29277.334025616605,0.014221510876453425,0.33178905005437276,528.8976102550129,9510.009819679477,19,0.34545454545454546,361,6859,0.018271429086384794,0.20149797104627132,669.0800000000017,1713.1600000000035,1,0,0,1,0,30688.0,6600.0,0.21506777893639206,0,0,0,8,0,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
BOMBOM MORANGUETE 13G 160UN,2022,9,0,1,51025.0,3.0,-1.0,-1.8369701987210297e-16,-1.0,-1.8369701987210297e-16,37288.0,36618.92,37663.0,23336.0,18487.0,40867.0,41643.973333333335,8131.092362169646,36618.92,51025.0,34085.82,11595.409794673065,18584.0,51025.0,29411.434444444443,11591.074103420175,18487.0,51025.0,31483.992500000004,10998.27567396497,18487.0,51025.0,43130.11619864464,37537.64935235773,32623.128790906358,0.19525255904583022,0.3401828031325949,8131.092362169646,11595.409794673065,20,0.36363636363636365,400,8000,0.3684027032825574,0.11965083191648274,13737.0,13067.919999999998,1,0,0,0,0,40867.0,10158.0,0.24856240976827268,0,0,0,9,0,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
BOMBOM MORANGUETE 13G 160UN,2022,10,0,1,41910.0,4.0,-0.8660254037844386,0.5000000000000001,-2.4492935982947064e-16,1.0,51025.0,37288.0,36618.92,37663.0,18584.0,30335.0,43407.666666666664,6989.8888641618305,37288.0,51025.0,37973.48666666667,8972.126818378501,23336.0,51025.0,31936.21222222222,11560.323020795937,18487.0,51025.0,32448.575833333336,11388.986475568452,18487.0,51025.0,42520.05809932232,38786.89239454124,34051.878207689995,0.16102890113486476,0.23627345303148795,6989.8888641618305,8972.126818378501,21,0.38181818181818183,441,9261,-0.1786379225869672,0.06934540326065834,-9115.0,-22852.0,1,0,0,0,0,30335.0,11575.0,0.3815724410746662,0,0,0,10,0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
BOMBOM MORANGUETE 13G 160UN,2022,11,0,0,31337.99,4.0,-0.5000000000000004,0.8660254037844384,-2.4492935982947064e-16,1.0,41910.0,51025.0,37288.0,36618.92,23336.0,44525.0,41424.33,9852.48685341423,31337.99,51025.0,39307.151666666665,6657.283595108198,31337.99,51025.0,32916.65666666666,11023.025351540296,18487.0,51025.0,31349.658333333336,10735.248172283877,18487.0,51025.0,36929.02404966116,36658.63456752946,33634.35694496846,0.23784299838800602,0.16936570860090383,9852.48685341423,6657.283595108198,22,0.4,484,10648,-0.2522550703889286,-0.02083009656444612,-10572.009999999998,-1457.0099999999984,0,0,0,0,0,44525.0,-13187.009999999998,-0.29617091521617067,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
BOMBOM MORANGUETE 13G 160UN,2022,12,0,0,39318.99,4.0,-2.4492935982947064e-16,1.0,-2.4492935982947064e-16,1.0,31337.99,41910.0,51025.0,37288.0,37663.0,38245.0,37522.32666666667,5510.249378207269,31337.99,41910.0,39583.149999999994,6609.644155196259,31337.99,51025.0,35231.322222222225,9725.04816242673,18584.0,51025.0,31439.1575,10802.228203767734,18487.0,51025.0,38124.00702483058,37418.736119663896,34508.91587651177,0.14685255067357947,0.16698125730762356,5510.249378207269,6609.644155196259,23,0.41818181818181815,529,12167,0.25467491692989874,-0.05873935868199901,7980.999999999996,18553.009999999995,0,0,1,0,1,38245.0,1073.989999999998,0.028081840763498442,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
BOMBOM MORANGUETE 13G 160UN,2023,1,0,0,26466.0,1.0,0.49999999999999994,0.8660254037844387,1.0,6.123233995736766e-17,39318.99,31337.99,41910.0,51025.0,36618.92,19187.0,32374.326666666664,6488.862246190286,26466.0,39318.99,37890.996666666666,8538.496899339292,26466.0,51025.0,36107.100000000006,8287.09199702013,23336.0,51025.0,32045.740833333333,10241.497972201549,18487.0,51025.0,32295.00351241529,34289.38294261707,33271.54420320226,0.20043234606857058,0.2253436871680588,6488.862246190286,8538.496899339292,24,0.43636363636363634,576,13824,-0.3268901362929211,-0.10815676325065031,-12852.989999999998,-20833.989999999994,0,1,1,0,1,19187.0,7279.0,0.37937144941887735,0,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
BOMBOM MORANGUETE 13G 160UN,2023,2,0,0,22620.0,1.0,0.8660254037844386,0.5000000000000001,1.0,6.123233995736766e-17,26466.0,39318.99,31337.99,41910.0,37288.0,22513.99,29468.329999999998,8744.973174727316,22620.0,39318.99,35446.329999999994,10597.273328991756,22620.0,51025.0,36027.544444444444,8427.2701656499,22620.0,51025.0,32054.575,10232.570403369735,18487.0,51025.0,27457.501756207646,30955.273530440765,31632.8450950173,0.29675835633465886,0.2989667288261368,8744.973174727316,10597.273328991756,25,0.45454545454545453,625,15625,-0.14531852187712535,-0.07251124708004923,-3846.0,9006.989999999998,0,1,0,0,1,22513.99,106.0099999999984,0.004708627835403604,0,0,0,0,0,0,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
BOMBOM MORANGUETE 13G 160UN,2023,3,0,0,35157.98,1.0,1.0,6.123233995736766e-17,1.0,6.123233995736766e-17,22620.0,26466.0,39318.99,31337.99,51025.0,18487.0,28081.32666666667,6423.176457184854,22620.0,35157.98,32801.82666666667,7442.295472773615,22620.0,41910.0,35749.20888888889,8407.847902958652,22620.0,51025.0,33443.823333333334,9313.49152228523,18584.0,51025.0,31307.740878103825,32156.04680745769,32175.173541937715,0.22873479353129517,0.22688661666322693,6423.176457184854,7442.295472773615,26,0.4727272727272727,676,17576,0.5542873563218391,0.027359566050597566,12537.980000000003,16383.980000000003,0,1,0,0,0,18487.0,16670.980000000003,0.9017677286742036,0,0,0,0,0,0,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
BOMBOM MORANGUETE 13G 160UN,2023,4,0,0,27653.0,2.0,0.8660254037844387,-0.4999999999999998,1.2246467991473532e-16,-1.0,35157.98,22620.0,26466.0,39318.99,41910.0,18584.0,28476.993333333336,6309.473779970384,22620.0,35157.98,30425.66,6109.229017265595,22620.0,39318.99,34752.99555555556,8813.310124326325,22620.0,51025.0,34199.573333333334,8312.191245516582,22620.0,51025.0,29480.370439051912,30869.46200532692,31479.45453548576,0.2215639026956164,0.20079199653403065,6309.473779970384,6109.229017265595,27,0.4909090909090909,729,19683,-0.2134644823166747,0.06516811737601302,-7504.980000000003,-20042.960000000006,0,0,0,0,0,18584.0,9069.0,0.48800043047783037,0,0,0,0,0,0,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
BOMBOM MORANGUETE 13G 160UN,2023,5,0,0,26739.0,2.0,0.49999999999999994,-0.8660254037844387,1.2246467991473532e-16,-1.0,27653.0,35157.98,22620.0,26466.0,31337.99,23336.0,29849.993333333336,4619.511969909133,26739.0,35157.98,29659.161666666667,6258.552447390419,22620.0,39318.99,33580.88444444445,9129.819000810086,22620.0,51025.0,34483.15666666667,7958.3898047764515,22620.0,51025.0,28109.685219525956,29689.330003804946,30750.15383771872,0.15475755449333878,0.21101582430848945,4619.511969909133,6258.552447390419,28,0.509090909090909,784,21952,-0.033052471702889386,0.10259013410075835,-914.0,6590.980000000003,0,0,0,0,0,23336.0,3403.0,0.14582619129242372,0,0,0,0,0,0,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
BOMBOM MORANGUETE 13G 160UN,2023,6,0,0,28949.0,2.0,1.2246467991473532e-16,-1.0,1.2246467991473532e-16,-1.0,26739.0,27653.0,35157.98,22620.0,39318.99,37663.0,27780.333333333332,1110.4887812732482,26739.0,28949.0,27930.829999999998,4125.934021455009,22620.0,35157.98,31127.995555555557,6421.019883753117,22620.0,41910.0,33756.99,8039.014645554294,22620.0,51025.0,28529.342609762978,29477.80714557496,30473.053247300457,0.03997391852533261,0.14771970691365097,1110.4887812732482,4125.934021455009,29,0.5272727272727272,841,24389,0.08265080967874638,-0.0546220481136059,2210.0,3124.0,0,0,0,1,0,37663.0,-8714.0,-0.2313676552584765,0,0,0,0,0,0,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
BOMBOM MORANGUETE 13G 160UN,2023,7,0,1,32201.93,3.0,-0.4999999999999997,-0.8660254037844388,-1.0,-1.8369701987210297e-16,28949.0,26739.0,27653.0,35157.98,26466.0,36618.92,29296.64333333333,2748.007089079965,26739.0,32201.93,28886.81833333333,4375.608388950797,22620.0,35157.98,30049.321111111112,5053.041647333439,22620.0,39318.99,33388.9075,7997.073741761168,22620.0,51025.0,30365.63630488149,30256.12796112497,30739.03428617731,0.09379938369776716,0.15147422393353915,2748.007089079965,4375.608388950797,30,0.5454545454545454,900,27000,0.11236761200732315,0.05398864999439338,3252.9300000000003,1042.9300000000003,1,0,0,1,0,36618.92,-4416.989999999998,-0.12062043337160129,0,0,0,7,0,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
BOMBOM MORANGUETE 13G 160UN,2023,8,0,1,38985.0,3.0,-0.8660254037844384,-0.5000000000000004,-1.0,-1.8369701987210297e-16,32201.93,28949.0,26739.0,27653.0,22620.0,37288.0,33378.64333333333,5120.431105056853,28949.0,38985.0,31614.31833333333,4770.628204278407,26739.0,38985.0,30898.988888888893,5873.181748680712,22620.0,39318.99,33530.324166666665,8086.79292316964,22620.0,51025.0,34675.31815244074,32750.09140080355,32007.644395996187,0.15340441053646336,0.15090087200293603,5120.431105056853,4770.628204278407,31,0.5636363636363636,961,29791,0.21064172240607948,0.13522004803071633,6783.07,3530.1399999999994,1,0,0,1,0,37288.0,1697.0,0.045510620038618325,0,0,0,8,0,1,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
BOMBOM MORANGUETE 13G 160UN,2023,9,0,1,40266.97,3.0,-1.0,-1.8369701987210297e-16,-1.0,-1.8369701987210297e-16,38985.0,32201.93,28949.0,26739.0,35157.98,51025.0,37151.299999999996,4333.942698963663,32201.93,40266.97,32465.81666666667,5860.972849350748,26739.0,40266.97,31004.32,6048.934931297833,22620.0,40266.97,32633.821666666667,6389.142291168435,22620.0,41910.0,37471.14407622037,34897.771000573965,33278.30987353524,0.11665655573193034,0.18052750403683304,4333.942698963663,5860.972849350748,32,0.5818181818181818,1024,32768,0.03288367320764407,0.1186310025403489,1281.9700000000012,-5501.0999999999985,1,0,0,0,0,51025.0,-10758.029999999999,-0.2108384125428711,0,0,0,9,0,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
